"","gene_type","gene_name"
"82139","protein_coding","PRAMEF15"
"82157","protein_coding","PRAMEF14"
"82174","protein_coding","PRAMEF19"
"82186","protein_coding","PRAMEF17"
"82198","protein_coding","PRAMEF20"
"82220","protein_coding","LRRC38"
"82255","protein_coding","PDPN"
"82505","protein_coding","PRDM2"
"82708","protein_coding","KAZN"
"83024","protein_coding","TMEM51"
"83173","protein_coding","FHAD1"
"83939","protein_coding","EFHD2"
"84016","protein_coding","CTRC"
"84064","protein_coding","CELA2A"
"84113","protein_coding","CELA2B"
"84155","protein_coding","CASP9"
"84358","protein_coding","DNAJC16"
"84604","protein_coding","AGMAT"
"84727","protein_coding","DDI2"
"84842","protein_coding","RSC1A1"
"84850","protein_coding","PLEKHM2"
"85416","protein_coding","SLC25A34"
"85554","protein_coding","TMEM82"
"85598","protein_coding","FBLIM1"
"87437","protein_coding","UQCRHL"
"87454","protein_coding","SPEN"
"87587","protein_coding","ZBTB17"
"88600","protein_coding","SRARP"
"88614","protein_coding","HSPB7"
"88743","protein_coding","CLCNKA"
"90294","protein_coding","CLCNKB"
"91580","protein_coding","FAM131C"
"91652","protein_coding","EPHA2"
"91862","protein_coding","ARHGEF19"
"92203","protein_coding","CPLANE2"
"92254","protein_coding","FBXO42"
"92795","protein_coding","SZRD1"
"92947","protein_coding","SPATA21"
"93064","protein_coding","NECAP2"
"93496","protein_coding","NBPF1"
"94012","protein_coding","CROCC"
"94723","protein_coding","MFAP2"
"95245","protein_coding","ATP13A2"
"95569","protein_coding","ENSG00000288636"
"95582","protein_coding","SDHB"
"95910","protein_coding","PADI2"
"96292","protein_coding","PADI1"
"96342","protein_coding","PADI3"
"96383","protein_coding","PADI4"
"96448","protein_coding","PADI6"
"96486","protein_coding","RCC2"
"97132","protein_coding","ARHGEF10L"
"98913","protein_coding","ACTL8"
"99007","protein_coding","IGSF21"
"99156","protein_coding","KLHDC7A"
"99175","protein_coding","PAX7"
"99324","protein_coding","TAS1R2"
"99341","protein_coding","ALDH4A1"
"100130","protein_coding","IFFO2"
"100222","protein_coding","UBR4"
"100735","protein_coding","EMC1"
"102661","protein_coding","MRTO4"
"102737","protein_coding","AKR7L"
"102773","protein_coding","AKR7A3"
"102858","protein_coding","AKR7A2"
"102927","protein_coding","SLC66A1"
"103134","protein_coding","CAPZB"
"103622","protein_coding","MICOS10"
"103764","protein_coding","NBL1"
"104099","protein_coding","MICOS10-NBL1"
"104167","protein_coding","HTR6"
"104179","protein_coding","TMCO4"
"106676","protein_coding","RNF186"
"106688","protein_coding","OTUD3"
"106801","protein_coding","PLA2G2E"
"106818","protein_coding","PLA2G2A"
"106998","protein_coding","PLA2G5"
"108076","protein_coding","PLA2G2D"
"108105","protein_coding","PLA2G2F"
"108137","protein_coding","PLA2G2C"
"108182","protein_coding","UBXN10"
"108260","protein_coding","VWA5B1"
"109112","protein_coding","CAMK2N1"
"109141","protein_coding","MUL1"
"109184","protein_coding","FAM43B"
"109192","protein_coding","CDA"
"109277","protein_coding","PINK1"
"109608","protein_coding","DDOST"
"109685","protein_coding","KIF17"
"109902","protein_coding","SH2D5"
"110444","protein_coding","HP1BP3"
"110983","protein_coding","EIF4G3"
"112103","protein_coding","ECE1"
"112491","protein_coding","NBPF3"
"112893","protein_coding","ALPL"
"113069","protein_coding","ENSG00000289715"
"113090","protein_coding","RAP1GAP"
"117256","protein_coding","USP48"
"118661","protein_coding","LDLRAD2"
"118697","protein_coding","HSPG2"
"119047","protein_coding","CELA3B"
"119115","protein_coding","CELA3A"
"119263","protein_coding","ENSG00000289694"
"119306","protein_coding","CDC42"
"119953","protein_coding","WNT4"
"120106","protein_coding","ZBTB40"
"120604","protein_coding","EPHA8"
"120662","protein_coding","C1QA"
"120881","protein_coding","ENSG00000289692"
"120906","protein_coding","C1QC"
"121028","protein_coding","C1QB"
"121260","protein_coding","EPHB2"
"121449","protein_coding","LACTBL1"
"121475","protein_coding","TEX46"
"121508","protein_coding","KDM1A"
"123671","protein_coding","LUZP1"
"123762","protein_coding","ENSG00000293565"
"123781","protein_coding","HTR1D"
"123951","protein_coding","HNRNPR"
"124605","protein_coding","ZNF436"
"124707","protein_coding","TCEA3"
"125236","protein_coding","ASAP3"
"126067","protein_coding","E2F2"
"126158","protein_coding","ID3"
"126346","protein_coding","RPL11"
"126855","protein_coding","ELOA"
