"","gene_type","gene_name"
"2061877","protein_coding","CXXC4"
"2062365","protein_coding","TET2"
"2062580","protein_coding","PPA2"
"2063254","protein_coding","ARHGEF38"
"2063346","protein_coding","INTS12"
"2064108","protein_coding","GSTCD"
"2064677","protein_coding","NPNT"
"2065134","protein_coding","TBCK"
"2066173","protein_coding","AIMP1"
"2066735","protein_coding","GIMD1"
"2066786","protein_coding","DKK2"
"2066864","protein_coding","PAPSS1"
"2067177","protein_coding","SGMS2"
"2067633","protein_coding","CYP2U1"
"2067723","protein_coding","HADH"
"2068277","protein_coding","LEF1"
"2069286","protein_coding","RPL34"
"2069665","protein_coding","OSTC"
"2069755","protein_coding","ETNPPL"
"2070229","protein_coding","COL25A1"
"2071050","protein_coding","SEC24B"
"2072501","protein_coding","MCUB"
"2072569","protein_coding","CASP6"
"2072653","protein_coding","PLA2G12A"
"2072720","protein_coding","ENSG00000285330"
"2072756","protein_coding","CFI"
"2073339","protein_coding","GAR1"
"2073685","protein_coding","RRH"
"2073723","protein_coding","LRIT3"
"2073773","protein_coding","EGF"
"2074355","protein_coding","ELOVL6"
"2074538","protein_coding","ENPEP"
"2074899","protein_coding","PITX2"
"2075284","protein_coding","FAM241A"
"2075303","protein_coding","AP1AR"
"2075501","protein_coding","TIFA"
"2075558","protein_coding","ALPK1"
"2076106","protein_coding","NEUROG2"
"2076329","protein_coding","ZGRF1"
"2076943","protein_coding","LARP7"
"2078537","protein_coding","ANK2"
"2086609","protein_coding","CAMK2D"
"2089198","protein_coding","ARSJ"
"2089356","protein_coding","UGT8"
"2089720","protein_coding","NDST4"
"2090011","protein_coding","TRAM1L1"
"2090561","protein_coding","NDST3"
"2090798","protein_coding","PRSS12"
"2091442","protein_coding","METTL14"
"2091672","protein_coding","SEC24D"
"2092264","protein_coding","SYNPO2"
"2092374","protein_coding","MYOZ2"
"2092530","protein_coding","USP53"
"2093030","protein_coding","ARLN"
"2093136","protein_coding","FABP2"
"2094585","protein_coding","PDE5A"
"2095017","protein_coding","MAD2L1"
"2095596","protein_coding","PRDM5"
"2095962","protein_coding","NDNF"
"2096132","protein_coding","TNIP3"
"2096329","protein_coding","QRFPR"
"2096441","protein_coding","ANXA5"
"2097332","protein_coding","SMIM43"
"2097430","protein_coding","EXOSC9"
"2097824","protein_coding","CCNA2"
"2097888","protein_coding","BBS7"
"2098211","protein_coding","TRPC3"
"2098453","protein_coding","BLTP1"
"2100204","protein_coding","ADAD1"
"2100330","protein_coding","IL2"
"2100359","protein_coding","IL21"
"2100473","protein_coding","BBS12"
"2100510","protein_coding","FGF2"
"2100555","protein_coding","NUDT6"
"2100644","protein_coding","AFG2A"
"2100932","protein_coding","SPRY1"
"2101634","protein_coding","ANKRD50"
"2101699","protein_coding","FAT4"
"2102240","protein_coding","INTU"
"2102714","protein_coding","SLC25A31"
"2102732","protein_coding","HSPA4L"
"2102955","protein_coding","PLK4"
"2103218","protein_coding","MFSD8"
"2104482","protein_coding","ABHD18"
"2105167","protein_coding","LARP1B"
"2106193","protein_coding","PGRMC2"
"2106586","protein_coding","JADE1"
"2107708","protein_coding","SCLT1"
"2108341","protein_coding","C4orf33"
"2109951","protein_coding","PCDH10"
"2110260","protein_coding","PABPC4L"
"2110591","protein_coding","PCDH18"
"2111535","protein_coding","SLC7A11"
"2112121","protein_coding","NOCT"
"2112156","protein_coding","ELF2"
"2112541","protein_coding","MGARP"
"2112568","protein_coding","NDUFC1"
"2113622","protein_coding","NAA15"
"2114175","protein_coding","RAB33B"
"2114221","protein_coding","SETD7"
"2114467","protein_coding","MGST2"
"2114661","protein_coding","MAML3"
"2114788","protein_coding","SCOC"
"2115348","protein_coding","CLGN"
"2115677","protein_coding","MGAT4D"
"2115811","protein_coding","ELMOD2"
"2116120","protein_coding","UCP1"
"2116165","protein_coding","TBC1D9"
"2116393","protein_coding","RNF150"
"2116500","protein_coding","ZNF330"
"2117225","protein_coding","IL15"
"2118251","protein_coding","INPP4B"
"2119229","protein_coding","USP38"
"2119455","protein_coding","GAB1"
"2119737","protein_coding","SMARCA5"
"2120824","protein_coding","FREM3"
"2120853","protein_coding","GYPE"
"2120896","protein_coding","GYPB"
"2121073","protein_coding","GYPA"
"2121376","protein_coding","ENSG00000285713"
"2121425","protein_coding","HHIP"
"2121597","protein_coding","ANAPC10"
"2122071","protein_coding","ABCE1"
"2122545","protein_coding","OTUD4"
"2123300","protein_coding","SMAD1"
"2123841","protein_coding","MMAA"
"2124103","protein_coding","C4orf51"
"2124134","protein_coding","ZNF827"
"2124980","protein_coding","LSM6"
"2125335","protein_coding","REELD1"
"2125405","protein_coding","SLC10A7"
"2125696","protein_coding","POU4F2"
"2125706","protein_coding","TTC29"
"2126078","protein_coding","EDNRA"
"2126330","protein_coding","TMEM184C"
"2126419","protein_coding","PRMT9"
"2126676","protein_coding","ARHGAP10"
"2127444","protein_coding","NR3C2"
"2127921","protein_coding","IQCM"
"2128081","protein_coding","DCLK2"
"2128534","protein_coding","LRBA"
"2130172","protein_coding","MAB21L2"
"2130206","protein_coding","RPS3A"
"2130498","protein_coding","SH3D19"
"2131397","protein_coding","PRSS48"
"2131502","protein_coding","FHIP1A"
"2131853","protein_coding","GATB"
"2132898","protein_coding","FBXW7"
"2133338","protein_coding","TMEM154"
"2133494","protein_coding","TIGD4"
"2133546","protein_coding","ARFIP1"
"2134728","protein_coding","FHDC1"
"2134973","protein_coding","TRIM2"
"2137241","protein_coding","ENSG00000288637"
"2137454","protein_coding","MND1"
"2137705","protein_coding","TMEM131L"
"2139429","protein_coding","TLR2"
"2139793","protein_coding","RNF175"
"2140089","protein_coding","SFRP2"
"2140112","protein_coding","DCHS2"
"2140253","protein_coding","PLRG1"
"2140646","protein_coding","FGB"
"2140895","protein_coding","FGA"
"2140988","protein_coding","FGG"
"2141239","protein_coding","LRAT"
"2141333","protein_coding","RBM46"
"2141744","protein_coding","NPY2R"
"2141768","protein_coding","MAP9"
"2142214","protein_coding","GUCY1A1"
"2143374","protein_coding","GUCY1B1"
"2143969","protein_coding","ASIC5"
"2143995","protein_coding","TDO2"
"2144241","protein_coding","CTSO"
"2144780","protein_coding","PDGFC"
"2144933","protein_coding","GLRB"
"2145274","protein_coding","GRIA2"
"2146458","protein_coding","GASK1B"
"2146846","protein_coding","TMEM144"
"2147763","protein_coding","RXFP1"
"2148339","protein_coding","C4orf46"
"2148370","protein_coding","ETFDH"
"2149440","protein_coding","PPID"
"2149634","protein_coding","FNIP2"
"2149819","protein_coding","SPMIP2"
"2149885","protein_coding","RAPGEF2"
"2150545","protein_coding","FSTL5"
"2150834","protein_coding","NAF1"
"2150956","protein_coding","NPY1R"
"2151107","protein_coding","NPY5R"
"2151357","protein_coding","TKTL2"
"2151368","protein_coding","TMA16"
"2151558","protein_coding","MARCHF1"
"2151728","protein_coding","SMIM31"
"2151756","protein_coding","APELA"
"2151870","protein_coding","TRIM61"
"2152026","protein_coding","TRIM60"
"2152087","protein_coding","TRIM75"
"2152097","protein_coding","TMEM192"
"2152169","protein_coding","KLHL2"
"2152721","protein_coding","GK3"
"2152729","protein_coding","MSMO1"
"2152938","protein_coding","CPE"
"2153244","protein_coding","TLL1"
"2153470","protein_coding","SPOCK3"
"2154220","protein_coding","ANXA10"
"2154266","protein_coding","DDX60"
"2154964","protein_coding","DDX60L"
"2155829","protein_coding","PALLD"
"2156354","protein_coding","CBR4"
"2156549","protein_coding","SH3RF1"
"2156732","protein_coding","NEK1"
"2158121","protein_coding","CLCN3"
"2158429","protein_coding","HPF1"
"2158661","protein_coding","MFAP3L"
"2158932","protein_coding","AADAT"
"2159572","protein_coding","GALNTL6"
"2159814","protein_coding","GALNT7"
"2159957","protein_coding","HMGB2"
"2160260","protein_coding","SAP30"
"2160289","protein_coding","SCRG1"
"2161468","protein_coding","HAND2"
"2161976","protein_coding","FBXO8"
"2162200","protein_coding","CEP44"
"2162699","protein_coding","HPGD"
"2163093","protein_coding","GLRA3"
"2163152","protein_coding","ADAM29"
"2163372","protein_coding","GPM6A"
"2164057","protein_coding","WDR17"
"2164639","protein_coding","SPATA4"
"2164681","protein_coding","ASB5"
"2164890","protein_coding","SPCS3"
"2164989","protein_coding","VEGFC"
"2165124","protein_coding","NEIL3"
"2165229","protein_coding","AGA"
"2166160","protein_coding","TENM3"
"2167479","protein_coding","DCTD"
"2168270","protein_coding","WWC2"
"2169108","protein_coding","CLDN22"
"2169116","protein_coding","CLDN24"
"2169175","protein_coding","CDKN2AIP"
"2169314","protein_coding","ING2"
"2169374","protein_coding","RWDD4"
"2169501","protein_coding","TRAPPC11"
"2170361","protein_coding","STOX2"
"2170430","protein_coding","ENPP6"
"2170909","protein_coding","IRF2"
"2171745","protein_coding","CASP3"
"2172360","protein_coding","PRIMPOL"
"2173462","protein_coding","CENPU"
"2173583","protein_coding","ACSL1"
"2178501","protein_coding","HELT"
"2179182","protein_coding","SLC25A4"
"2179315","protein_coding","CFAP97"
"2179533","protein_coding","SNX25"
"2180450","protein_coding","LRP2BP"
"2180621","protein_coding","ANKRD37"
"2180664","protein_coding","UFSP2"
"2181034","protein_coding","CFAP96"
"2181248","protein_coding","CCDC110"
"2181447","protein_coding","PDLIM3"
"2181598","protein_coding","SORBS2"
"2189880","protein_coding","TLR3"
"2190032","protein_coding","FAM149A"
"2190394","protein_coding","CYP4V2"
"2190574","protein_coding","ENSG00000290316"
"2190608","protein_coding","KLKB1"
"2190921","protein_coding","F11"
"2191800","protein_coding","ENSG00000272297"
"2191841","protein_coding","MTNR1A"
"2191860","protein_coding","FAT1"
"2192835","protein_coding","ZFP42"
"2193132","protein_coding","TRIML2"
"2193421","protein_coding","TRIML1"
"2194741","protein_coding","FRG1"
"2195042","protein_coding","FRG2"
"2195141","protein_coding","DUX4"
"2195243","protein_coding","PLEKHG4B"
"2195488","protein_coding","LRRC14B"
"2195505","protein_coding","CCDC127"
"2195539","protein_coding","SDHA"
"2196637","protein_coding","ENSG00000286001"
"2196701","protein_coding","PDCD6"
"2196851","protein_coding","PDCD6-AHRR"
"2196930","protein_coding","AHRR"
"2197143","protein_coding","EXOC3"
"2197494","protein_coding","SLC9A3"
"2197753","protein_coding","CEP72"
"2197937","protein_coding","TPPP"
"2198148","protein_coding","ZDHHC11B"
"2198314","protein_coding","ZDHHC11"
"2198445","protein_coding","BRD9"
"2199176","protein_coding","TRIP13"
"2199446","protein_coding","NKD2"
"2199714","protein_coding","SLC12A7"
"2200156","protein_coding","SLC6A19"
"2200213","protein_coding","SLC6A18"
"2200252","protein_coding","TERT"
"2200500","protein_coding","CLPTM1L"
"2201151","protein_coding","SLC6A3"
"2201333","protein_coding","LPCAT1"
"2202980","protein_coding","MRPL36"
"2203078","protein_coding","NDUFS6"
"2203337","protein_coding","IRX4"
"2204007","protein_coding","IRX2"
"2204267","protein_coding","IRX1"
"2204907","protein_coding","ADAMTS16"
"2205138","protein_coding","ICE1"
"2205330","protein_coding","MED10"
"2205395","protein_coding","UBE2QL1"
"2205612","protein_coding","NSUN2"
"2206382","protein_coding","SRD5A1"
"2206543","protein_coding","TENT4A"
"2207405","protein_coding","ADCY2"
"2208084","protein_coding","CFAP90"
"2208185","protein_coding","MTRR"
"2208913","protein_coding","FASTKD3"
"2209391","protein_coding","SEMA5A"
"2210127","protein_coding","TAS2R1"
"2210303","protein_coding","ATPSCKMT"
"2210408","protein_coding","CCT5"
"2211203","protein_coding","CMBL"
"2211654","protein_coding","MARCHF6"
"2212496","protein_coding","ROPN1L"
"2212766","protein_coding","ANKRD33B"
"2212812","protein_coding","DAP"
"2212921","protein_coding","CTNND2"
"2213708","protein_coding","DNAH5"
"2214180","protein_coding","TRIO"
"2214924","protein_coding","OTULINL"
"2215062","protein_coding","OTULIN"
"2215211","protein_coding","ANKH"
"2215548","protein_coding","FBXL7"
"2215680","protein_coding","MARCHF11"
"2215841","protein_coding","ZNF622"
"2215948","protein_coding","RETREG1"
"2216310","protein_coding","MYO10"
"2216722","protein_coding","BASP1"
"2217097","protein_coding","LINC02218"
"2217114","protein_coding","H3Y2"
"2217129","protein_coding","TAF11L2"
"2217146","protein_coding","TAF11L3"
"2217153","protein_coding","TAF11L4"
"2217160","protein_coding","TAF11L5"
"2217167","protein_coding","TAF11L6"
"2217174","protein_coding","TAF11L7"
"2217184","protein_coding","TAF11L8"
"2217191","protein_coding","TAF11L9"
"2217198","protein_coding","TAF11L10"
"2217211","protein_coding","TAF11L11"
"2217228","protein_coding","TAF11L12"
"2217258","protein_coding","TAF11L13"
"2217265","protein_coding","TAF11L14"
"2217284","protein_coding","H3Y1"
"2217874","protein_coding","CDH18"
"2219666","protein_coding","ENSG00000233974"
"2219687","protein_coding","CDH12"
"2220010","protein_coding","PRDM9"
"2220214","protein_coding","CDH10"
"2220787","protein_coding","CDH9"
"2222589","protein_coding","CDH6"
"2222731","protein_coding","DROSHA"
"2225232","protein_coding","C5orf22"
"2225386","protein_coding","PDZD2"
"2225634","protein_coding","GOLPH3"
"2225729","protein_coding","MTMR12"
"2226289","protein_coding","ZFR"
"2226723","protein_coding","SUB1"
"2227170","protein_coding","NPR3"
"2227615","protein_coding","TARS1"
"2228253","protein_coding","ADAMTS12"
"2228397","protein_coding","RXFP3"
"2228405","protein_coding","SLC45A2"
"2228475","protein_coding","AMACR"
"2228568","protein_coding","C1QTNF3-AMACR"
"2228592","protein_coding","ENSG00000289791"
"2228639","protein_coding","C1QTNF3"
"2228913","protein_coding","ENSG00000215156"
"2229046","protein_coding","RAI14"
"2229778","protein_coding","TTC23L"
"2229970","protein_coding","RAD1"
"2230173","protein_coding","BRIX1"
"2230444","protein_coding","DNAJC21"
"2230851","protein_coding","AGXT2"
"2231256","protein_coding","PRLR"
"2231764","protein_coding","SPEF2"
"2232315","protein_coding","IL7R"
"2232447","protein_coding","CAPSL"
"2232536","protein_coding","UGT3A1"
"2232675","protein_coding","UGT3A2"
"2232807","protein_coding","LMBRD2"
"2233017","protein_coding","SKP2"
"2233603","protein_coding","NADK2"
"2233883","protein_coding","RANBP3L"
"2234230","protein_coding","SLC1A3"
"2235205","protein_coding","NIPBL"
"2235547","protein_coding","CPLANE1"
"2236347","protein_coding","NUP155"
"2237286","protein_coding","WDR70"
"2237778","protein_coding","GDNF"
"2237911","protein_coding","EGFLAM"
"2238225","protein_coding","LIFR"
"2239107","protein_coding","OSMR"
"2239363","protein_coding","RICTOR"
"2239920","protein_coding","FYB1"
"2240302","protein_coding","C9"
"2240655","protein_coding","DAB2"
"2241558","protein_coding","TTC33"
"2241674","protein_coding","PTGER4"
"2241739","protein_coding","PRKAA1"
"2241840","protein_coding","RPL37"
"2241973","protein_coding","CARD6"
"2242005","protein_coding","C7"
"2242813","protein_coding","MROH2B"
"2243099","protein_coding","C6"
"2244954","protein_coding","PLCXD3"
"2245013","protein_coding","OXCT1"
"2245578","protein_coding","RIMOC1"
"2245656","protein_coding","FBXO4"
"2245927","protein_coding","GHR"
"2246773","protein_coding","CCDC152"
"2246971","protein_coding","SELENOP"
"2247751","protein_coding","ANXA2R"
"2247883","protein_coding","ZNF131"
"2248391","protein_coding","NIM1K"
"2248532","protein_coding","HMGCS1"
"2248671","protein_coding","CCL28"
"2248710","protein_coding","TMEM267"
"2249350","protein_coding","C5orf34"
"2249446","protein_coding","PAIP1"
"2249812","protein_coding","NNT"
"2251566","protein_coding","FGF10"
"2251779","protein_coding","MRPS30"
"2251853","protein_coding","HCN1"
"2251972","protein_coding","EMB"
"2252120","protein_coding","PARP8"
"2252818","protein_coding","ISL1"
"2252998","protein_coding","PELO"
"2253033","protein_coding","ITGA1"
"2253241","protein_coding","ITGA2"
"2253697","protein_coding","MOCS2"
"2254204","protein_coding","FST"
"2254334","protein_coding","NDUFS4"
"2254498","protein_coding","ARL15"
"2254759","protein_coding","HSPB3"
"2254767","protein_coding","SNX18"
"2255011","protein_coding","ESM1"
"2255139","protein_coding","GZMK"
"2255175","protein_coding","GZMA"
"2255191","protein_coding","CDC20B"
"2255323","protein_coding","GPX8"
"2255400","protein_coding","MCIDAS"
"2255450","protein_coding","CCNO"
"2255530","protein_coding","DHX29"
"2256149","protein_coding","MTREX"
"2257271","protein_coding","PLPP1"
"2257480","protein_coding","SLC38A9"
"2259010","protein_coding","DDX4"
"2259423","protein_coding","IL31RA"
"2259755","protein_coding","IL6ST"
"2260790","protein_coding","ANKRD55"
"2261216","protein_coding","MAP3K1"
"2261407","protein_coding","SETD9"
"2261580","protein_coding","MIER3"
"2261875","protein_coding","GPBP1"
"2263461","protein_coding","ACTBL2"
"2263802","protein_coding","PLK2"
"2264056","protein_coding","GAPT"
"2264148","protein_coding","RAB3C"
"2264210","protein_coding","PDE4D"
"2264833","protein_coding","DEPDC1B"
"2265073","protein_coding","ELOVL7"
"2265265","protein_coding","ERCC8"
"2265969","protein_coding","NDUFAF2"
"2266069","protein_coding","SMIM15"
"2266444","protein_coding","ZSWIM6"
"2267281","protein_coding","KIF2A"
"2268362","protein_coding","ENSG00000288643"
"2268380","protein_coding","DIMT1"
"2268957","protein_coding","IPO11"
"2269585","protein_coding","LRRC70"
"2269654","protein_coding","HTR1A"
"2269686","protein_coding","RNF180"
"2269896","protein_coding","RGS7BP"
"2269936","protein_coding","SHISAL2B"
"2269982","protein_coding","SREK1IP1"
"2270042","protein_coding","CWC27"
"2270693","protein_coding","ADAMTS6"
"2270885","protein_coding","CENPK"
"2271472","protein_coding","PPWD1"
"2271773","protein_coding","TRIM23"
"2271909","protein_coding","SHLD3"
"2271935","protein_coding","TRAPPC13"
"2272160","protein_coding","SGTB"
"2272340","protein_coding","NLN"
"2272546","protein_coding","ERBIN"
"2274391","protein_coding","SREK1"
"2274959","protein_coding","MAST4"
"2275441","protein_coding","CD180"
"2275890","protein_coding","PIK3R1"
"2277225","protein_coding","SLC30A5"
"2277870","protein_coding","CCNB1"
"2278378","protein_coding","CENPH"
"2278536","protein_coding","KGD4"
"2278601","protein_coding","CDK7"
"2279066","protein_coding","CCDC125"
"2279290","protein_coding","AK6"
"2279357","protein_coding","TAF9"
"2279563","protein_coding","RAD17"
"2281584","protein_coding","MARVELD2"
"2281830","protein_coding","OCLN"
"2282840","protein_coding","GTF2H2C"
"2283810","protein_coding","ENSG00000250138"
"2284803","protein_coding","ENSG00000251158"
"2284847","protein_coding","SERF1B"
"2284916","protein_coding","SMN2"
"2288810","protein_coding","ENSG00000293691"
"2288822","protein_coding","ENSG00000293689"
"2289994","protein_coding","SERF1A"
"2290095","protein_coding","SMN1"
"2290471","protein_coding","NAIP"
"2290768","protein_coding","GTF2H2"
"2292403","protein_coding","BDP1"
"2292606","protein_coding","MCCC2"
"2293829","protein_coding","CARTPT"
"2293950","protein_coding","MAP1B"
"2294030","protein_coding","MRPS27"
"2294669","protein_coding","PTCD2"
"2294960","protein_coding","ZNF366"
"2295287","protein_coding","TNPO1"
"2296101","protein_coding","FCHO2"
"2296616","protein_coding","TMEM171"
"2296700","protein_coding","TMEM174"
"2296924","protein_coding","FOXD1"
"2296995","protein_coding","BTF3"
"2297133","protein_coding","ANKRA2"
"2297280","protein_coding","UTP15"
"2297619","protein_coding","ARHGEF28"
"2298988","protein_coding","ENC1"
"2299198","protein_coding","HEXB"
"2299358","protein_coding","GFM2"
"2300283","protein_coding","NSA2"
"2300369","protein_coding","FAM169A"
"2301027","protein_coding","GCNT4"
"2301119","protein_coding","ANKRD31"
"2301317","protein_coding","HMGCR"
"2302651","protein_coding","CERT1"
"2303799","protein_coding","POLK"
"2304428","protein_coding","ANKDD1B"
"2304871","protein_coding","POC5"
"2305296","protein_coding","SV2C"
"2305403","protein_coding","IQGAP2"
"2305859","protein_coding","F2RL2"
"2305890","protein_coding","F2R"
"2305924","protein_coding","F2RL1"
"2305944","protein_coding","S100Z"
"2306069","protein_coding","CRHBP"
"2306166","protein_coding","AGGF1"
"2306390","protein_coding","ENSG00000285000"
"2306426","protein_coding","ZBED3"
"2306783","protein_coding","PDE8B"
"2306840","protein_coding","PDE8B"
"2307145","protein_coding","WDR41"
"2307773","protein_coding","OTP"
"2307797","protein_coding","TBCA"
"2308029","protein_coding","AP3B1"
"2309603","protein_coding","SCAMP1"
"2309803","protein_coding","LHFPL2"
"2310269","protein_coding","ARSB"
"2310367","protein_coding","DMGDH"
"2310766","protein_coding","BHMT2"
"2311034","protein_coding","BHMT"
"2311223","protein_coding","JMY"
"2311424","protein_coding","HOMER1"
"2311629","protein_coding","TENT2"
"2313219","protein_coding","CMYA5"
"2313460","protein_coding","MTX3"
"2313526","protein_coding","THBS4"
"2313882","protein_coding","SERINC5"
"2314116","protein_coding","SPZ1"
"2314152","protein_coding","ZFYVE16"
"2314741","protein_coding","FAM151B"
"2314817","protein_coding","ANKRD34B"
"2315110","protein_coding","DHFR"
"2315212","protein_coding","MSH3"
"2315805","protein_coding","RASGRF2"
"2316099","protein_coding","CKMT2"
"2316749","protein_coding","ZCCHC9"
"2317019","protein_coding","ACOT12"
"2317172","protein_coding","SSBP2"
"2318486","protein_coding","ATG10"
"2319071","protein_coding","RPS23"
"2319626","protein_coding","TMEM167A"
"2319664","protein_coding","XRCC4"
"2319941","protein_coding","VCAN"
"2320179","protein_coding","HAPLN1"
"2320336","protein_coding","EDIL3"
"2320863","protein_coding","COX7C"
"2321161","protein_coding","RASA1"
"2321666","protein_coding","CCNH"
"2322251","protein_coding","TMEM161B"
"2324003","protein_coding","MEF2C"
"2328047","protein_coding","CETN3"
"2328292","protein_coding","MBLAC2"
"2328309","protein_coding","POLR3G"
"2329008","protein_coding","LYSMD3"
"2329092","protein_coding","ADGRV1"
"2330676","protein_coding","ARRDC3"
"2332507","protein_coding","NR2F1"
"2332620","protein_coding","ARB2A"
"2333034","protein_coding","POU5F2"
"2333072","protein_coding","KIAA0825"
"2333267","protein_coding","SLF1"
"2333695","protein_coding","MCTP1"
"2334140","protein_coding","FAM81B"
"2334264","protein_coding","SKIC3"
"2338296","protein_coding","ARSK"
"2338420","protein_coding","GPR150"
"2338428","protein_coding","RFESD"
"2338549","protein_coding","SPATA9"
"2338659","protein_coding","RHOBTB3"
"2338889","protein_coding","GLRX"
"2339231","protein_coding","ELL2"
"2339450","protein_coding","CAST"
"2343163","protein_coding","PCSK1"
"2343371","protein_coding","ERAP1"
"2343888","protein_coding","ERAP2"
"2344351","protein_coding","LNPEP"
"2344564","protein_coding","LIX1"
"2344610","protein_coding","RIOK2"
"2345104","protein_coding","RGMB"
"2345483","protein_coding","CHD1"
"2346218","protein_coding","ENSG00000206356"
"2346564","protein_coding","ENSG00000273957"
"2346657","protein_coding","FAM174A"
"2346709","protein_coding","ST8SIA4"
"2346854","protein_coding","SLCO4C1"
"2346947","protein_coding","SLCO6A1"
"2347236","protein_coding","PAM"
"2352544","protein_coding","GIN1"
"2352779","protein_coding","PPIP5K2"
"2354426","protein_coding","MACIR"
"2354696","protein_coding","NUDT12"
"2355380","protein_coding","EFNA5"
"2355501","protein_coding","FBXL17"
"2355626","protein_coding","FER"
"2356399","protein_coding","PJA2"
"2356785","protein_coding","MAN2A1"
"2357385","protein_coding","TMEM232"
"2357701","protein_coding","SLC25A46"
"2357865","protein_coding","TSLP"
"2357920","protein_coding","WDR36"
"2358262","protein_coding","CAMK4"
"2358569","protein_coding","STARD4"
"2358903","protein_coding","NREP"
"2359355","protein_coding","EPB41L4A"
"2359670","protein_coding","APC"
"2360279","protein_coding","ENSG00000258864"
"2360299","protein_coding","SRP19"
"2360444","protein_coding","REEP5"
"2360621","protein_coding","DCP2"
"2360770","protein_coding","MCC"
"2360984","protein_coding","TSSK1B"
"2360999","protein_coding","YTHDC2"
"2361769","protein_coding","KCNN2"
"2361942","protein_coding","TRIM36"
"2362092","protein_coding","PGGT1B"
"2362158","protein_coding","CCDC112"
"2362470","protein_coding","FEM1C"
"2362535","protein_coding","TICAM2"
"2362557","protein_coding","TMED7-TICAM2"
"2362610","protein_coding","TMED7"
"2362746","protein_coding","CDO1"
"2362872","protein_coding","ATG12"
"2362992","protein_coding","AP3S1"
"2363195","protein_coding","LVRN"
"2363416","protein_coding","ARL14EPL"
"2363454","protein_coding","COMMD10"
"2363653","protein_coding","SEMA6A"
"2365106","protein_coding","DTWD2"
"2365262","protein_coding","DMXL1"
"2365646","protein_coding","TNFAIP8"
"2365725","protein_coding","HSD17B4"
"2367346","protein_coding","FAM170A"
"2367487","protein_coding","PRR16"
"2367733","protein_coding","FTMT"
"2367747","protein_coding","SRFBP1"
"2367828","protein_coding","LOX"
"2367952","protein_coding","ZNF474"
"2368019","protein_coding","ZNF475"
"2368082","protein_coding","SNCAIP"
"2369215","protein_coding","SNX2"
"2369826","protein_coding","SNX24"
"2370031","protein_coding","PPIC"
"2370131","protein_coding","PRDM6"
"2370198","protein_coding","CEP120"
"2370996","protein_coding","CSNK1G3"
"2372786","protein_coding","ZNF608"
"2373467","protein_coding","GRAMD2B"
"2374060","protein_coding","ALDH7A1"
"2375572","protein_coding","PHAX"
"2375618","protein_coding","SPMIP10"
"2375674","protein_coding","LMNB1"
"2375865","protein_coding","MARCHF3"
"2376050","protein_coding","C5orf63"
"2376274","protein_coding","MEGF10"
"2376494","protein_coding","PRRC1"
"2376600","protein_coding","CTXN3"
"2376669","protein_coding","CCDC192"
"2376958","protein_coding","SLC12A2"
"2377397","protein_coding","FBN2"
"2378051","protein_coding","SLC27A6"
"2378311","protein_coding","ISOC1"
"2378453","protein_coding","ADAMTS19"
"2378981","protein_coding","MINAR2"
"2378993","protein_coding","CHSY3"
"2379135","protein_coding","HINT1"
"2379318","protein_coding","LYRM7"
"2379440","protein_coding","CDC42SE2"
"2379564","protein_coding","RAPGEF6"
"2380292","protein_coding","ENSG00000273217"
"2380362","protein_coding","FNIP1"
"2380562","protein_coding","MEIKIN"
"2380645","protein_coding","ENSG00000281938"
"2380775","protein_coding","ACSL6"
"2382024","protein_coding","IL3"
"2382044","protein_coding","CSF2"
"2382124","protein_coding","P4HA2"
"2384476","protein_coding","PDLIM4"
"2384659","protein_coding","SLC22A4"
"2384926","protein_coding","SLC22A5"
"2385620","protein_coding","ENSG00000283782"
"2385877","protein_coding","IRF1"
"2386414","protein_coding","IL5"
"2386455","protein_coding","RAD50"
"2387022","protein_coding","IL13"
"2387059","protein_coding","IL4"
"2387116","protein_coding","KIF3A"
"2387435","protein_coding","CCNI2"
"2387557","protein_coding","SEPTIN8"
"2387890","protein_coding","SOWAHA"
"2387901","protein_coding","SHROOM1"
"2388763","protein_coding","GDF9"
"2388852","protein_coding","UQCRQ"
"2388990","protein_coding","LEAP2"
"2389020","protein_coding","AFF4"
"2389284","protein_coding","ZCCHC10"
"2389522","protein_coding","HSPA4"
"2390359","protein_coding","FSTL4"
"2390579","protein_coding","C5orf15"
"2390628","protein_coding","VDAC1"
"2391842","protein_coding","TCF7"
"2392227","protein_coding","SKP1"
"2392627","protein_coding","ENSG00000272772"
"2392644","protein_coding","PPP2CA"
"2392893","protein_coding","ENSG00000273345"
"2393018","protein_coding","CDKL3"
"2393223","protein_coding","UBE2B"
"2393381","protein_coding","CDKN2AIPNL"
"2393495","protein_coding","JADE2"
"2394528","protein_coding","SAR1B"
"2395057","protein_coding","SEC24A"
"2395516","protein_coding","CAMLG"
"2395677","protein_coding","DDX46"
"2396011","protein_coding","ENSG00000310592"
"2396025","protein_coding","C5orf24"
"2396123","protein_coding","TXNDC15"
"2396274","protein_coding","PCBD2"
"2396390","protein_coding","CATSPER3"
"2396416","protein_coding","PITX1"
"2396608","protein_coding","MACROH2A1"
"2397553","protein_coding","DCANP1"
"2397561","protein_coding","TIFAB"
"2397615","protein_coding","SLC25A48"
"2397927","protein_coding","NEUROG1"
"2397938","protein_coding","CXCL14"
"2398033","protein_coding","IL9"
"2398060","protein_coding","LECT2"
"2398195","protein_coding","TGFBI"
